text,emotion
this API just isn't cooperating no matter what I try before the exam.,Frustrated
"nailed it, the reading assignment works exactly how it should now",Confident
"this Python error feels like it's going nowhere, I've lost interest.",Bored
"at my limit with the group project plan, ive tried literally everything",Frustrated
"so done with this physics problem set, nothing is working no matter what",Frustrated
this loop is just not making sense no matter how many times i read it,Confused
"so frustrated rn, this chemistry equation just wont cooperate",Frustrated
"meh another this proof, we already know this stuff",Bored
"at my limit with this loop, ive tried literally everything",Frustrated
I've got a good grip on this Python error before the deadline.,Confident
"why does the presentation slides even work like that, genuinely curious",Curious
omg i think i finally figured out the exam material!!,Confident
"This part of this lab report used to trip me up, but not anymore.",Confident
"SQL joins feels like it's going nowhere, I've lost interest.",Bored
"yesss got this economics concept working, feeling good",Confident
This error in this chemistry equation is driving me crazy.,Frustrated
the coding assignment is just not making sense no matter how many times i read it,Confused
"None of this makes sense, especially my code.",Confused
"I keep getting mixed up on this French verb tense, it's unclear.",Confused
I feel solid going into the next part of the presentation slides.,Confident
"what would happen if we pushed this API further, curious to see",Curious
took a while but i totally get thermodynamics now,Confident
"Honestly this economics concept feels so repetitive, I keep zoning out.",Bored
yawn... this grammar rule is not holding my attention today,Bored
"why is my code so dry, i can barely stay awake",Bored
the essay outline is just not making sense no matter how many times i read it,Confused
"the assignment instructions finally makes sense, i got this",Confident
"brain totally blanking on the exam material, whats going on",Confused
"algorithms and complexity finally makes sense, i got this",Confident
Why does the research paper thesis keep going wrong every single time?,Frustrated
this lab report is just not making sense no matter how many times i read it,Confused
"im not even worried about the reading assignment anymore, got it down",Confident
"I'm so close to giving up on my code, it's exhausting.",Frustrated
"huh, i dont get the assignment instructions at all",Confused
I can't bring myself to care about binary search today.,Bored
"Wait, I'm lost — how does this formula even work?",Confused
"Meh, this grammar rule again... I've done this a hundred times.",Bored
I keep wanting to ask more questions about the group project plan.,Curious
Why does algorithms and complexity keep going wrong every single time?,Frustrated
I keep hitting the same wall with the exam material and I'm over it.,Frustrated
I wonder how this loop would apply outside of class.,Curious
I feel solid going into the next part of data structures.,Confident
cant tell whats going on with this chemistry equation at all,Confused
I keep wanting to ask more questions about this French verb tense.,Curious
"ugh why wont this grammar rule just work, ive tried everything",Frustrated
"I want to dig deeper into the coding assignment, there's more to it I think.",Curious
Now I'm curious how the coding assignment connects to what we learned before.,Curious
I'm confident I can explain the presentation slides to someone else now.,Confident
"this Python error feels like it's going nowhere, I've lost interest.",Bored
"never thought about binary search like that, want to learn more",Curious
"just aced a practice question on the biology diagram, feeling great",Confident
"im so lost with linear algebra rn, nothing is clicking",Confused
I keep hitting the same wall with SQL joins and I'm over it.,Frustrated
I've reread algorithms and complexity three times and I'm still confused.,Confused
"This is dragging on forever, this chemistry equation just isn't interesting to me.",Bored
This error in the exam material is driving me crazy.,Frustrated
"I keep getting mixed up on data structures, it's unclear.",Confused
I wonder how photosynthesis would apply outside of class.,Curious
I've been staring at the coding assignment for homework and I just can't focus anymore.,Bored
"cant focus on this physics problem set at all rn, so dull",Bored
"Pretty sure I nailed thermodynamics in class today, feeling good about it.",Confident
Everything about the group project plan feels flat and uninteresting right now.,Bored
"huh, i dont get the assignment instructions at all",Confused
"literally about to give up on binary search, im exhausted",Frustrated
I double-checked my work on recursion and it all adds up.,Confident
I wonder how data structures would apply outside of class.,Curious
I'm out of patience with this loop at this point.,Frustrated
"im so lost with this lab report rn, nothing is clicking",Confused
pretty sure i can handle this Python error no problem now,Confident
"that part about the coding assignment was surprisingly interesting, more please",Curious
yawn... this API is not holding my attention today,Bored
I've tried everything and this physics problem set still isn't working in today's lecture.,Frustrated
this calculus problem just isn't cooperating no matter what I try in class today.,Frustrated
this API is being so difficult for no reason,Frustrated
"literally about to give up on SQL joins, im exhausted",Frustrated
My brain just blanks every time I look at binary search.,Confused
I think I've finally got the hang of the reading assignment!,Confident
I wonder how my code would apply outside of class.,Curious
I've got a good grip on the history reading before the exam.,Confident
"I'm intrigued by thermodynamics, is there a real-world example?",Curious
Everything about statistics homework feels flat and uninteresting right now.,Bored
this this loop lecture is a snoozefest,Bored
why does this formula feel like a different language,Confused
"im so lost with this calculus problem rn, nothing is clicking",Confused
I can't bring myself to care about recursion today.,Bored
Everything about this loop feels flat and uninteresting right now.,Bored
"why wont SQL joins just work already, im so over it",Frustrated
I'm stuck on linear algebra and it's making me want to give up.,Frustrated
"nailed it, my code works exactly how it should now",Confident
"hmm what if we changed something in this Python error, would that break it?",Curious
so is statistics homework used in real projects or just theory,Curious
"hmm what if we changed something in the lecture notes, would that break it?",Curious
I'm stuck on photosynthesis and it's making me want to give up.,Frustrated
"This is dragging on forever, my code just isn't interesting to me.",Bored
Now I'm curious how the assignment instructions connects to what we learned before.,Curious
smh the group project plan is dragging on forever,Bored
I've been staring at the coding assignment and I just can't focus anymore.,Bored
I've spent hours on this calculus problem and I'm no closer to solving it.,Frustrated
"object-oriented programming finally makes sense, i got this",Confident
This error in algorithms and complexity is driving me crazy.,Frustrated
took a while but i totally get photosynthesis now,Confident
I keep checking the clock instead of working on thermodynamics.,Bored
this lab report is a total blur to me right now,Confused
"Meh, linear algebra again... I've done this a hundred times.",Bored
I've reread the presentation slides three times and I'm still confused.,Confused
omg i think i finally figured out algorithms and complexity!!,Confident
this physics problem set is just not making sense no matter how many times i read it,Confused
"never thought about photosynthesis like that, want to learn more",Curious
"my code feels like it's going nowhere, I've lost interest.",Bored
"I'm so close to giving up on this formula, it's exhausting.",Frustrated
I've tried everything and my code still isn't working again.,Frustrated
"I'm intrigued by this French verb tense, is there a real-world example?",Curious
"meh another binary search, we already know this stuff",Bored
"I'm just going through the motions with this French verb tense, not really engaged.",Bored
I walked through this formula step by step and it clicked.,Confident
idk what im even looking at with this French verb tense,Confused
idk what im even looking at with the assignment instructions,Confused
so is data structures used in real projects or just theory,Curious
I think I've finally got the hang of the reading assignment!,Confident
"so done with the exam material, nothing is working no matter what",Frustrated
"I'm intrigued by the research paper thesis, is there a real-world example?",Curious
someone explain the coding assignment pls im so confused,Confused
"I'm intrigued by the presentation slides, is there a real-world example?",Curious
"This is dragging on forever, this API just isn't interesting to me.",Bored
keep hitting the same error with the biology diagram ugh,Frustrated
Something about this calculus problem isn't making sense and I can't pinpoint why.,Confused
I don't understand algorithms and complexity at all for the group project.,Confused
"SQL joins feels like it's going nowhere, I've lost interest.",Bored
wait so how is this lab report related to the other stuff we learned,Curious
"yesss got the assignment instructions working, feeling good",Confident
Can someone explain this grammar rule? I have no idea what's going on.,Confused
"this is so annoying, my code keeps breaking on me",Frustrated
I'm confident I can explain this API to someone else now.,Confident
"Finally cracked this lab report, I know exactly what I'm doing.",Confident
omg i think i finally figured out this physics problem set!!,Confident
"ugh the research paper thesis again, so boring",Bored
"im mixing up this loop with something else i think, so unclear",Confused
"at my limit with the reading assignment, ive tried literally everything",Frustrated
"never thought about the essay outline like that, want to learn more",Curious
not even a little interested in SQL joins tbh,Bored
"Nothing I try fixes this loop, I'm getting really frustrated.",Frustrated
I can't bring myself to care about this Python error today.,Bored
I redo the assignment instructions again and again and it still doesn't work.,Frustrated
i keep drifting off thinking about literally anything else during this French verb tense,Bored
"this got me thinking about this calculus problem, wanna know more",Curious
I've been staring at the group project plan for the group project and I just can't focus anymore.,Bored
idk what im even looking at with SQL joins,Confused
"Honestly this loop feels so repetitive, I keep zoning out.",Bored
wait so how is recursion related to the other stuff we learned,Curious
"I want to dig deeper into this lab report, there's more to it I think.",Curious
"why does this proof even work like that, genuinely curious",Curious
Everything about this physics problem set feels flat and uninteresting right now.,Bored
omg i think i finally figured out this chemistry equation!!,Confident
i keep drifting off thinking about literally anything else during the reading assignment,Bored
"ugh why wont this French verb tense just work, ive tried everything",Frustrated
took a while but i totally get this calculus problem now,Confident
someone explain this chemistry equation pls im so confused,Confused
"im losing my mind over this French verb tense, nothing helps",Frustrated
"this doesnt add up, the history reading seems contradictory",Confused
cant tell whats going on with this loop at all,Confused
I feel solid going into the next part of this French verb tense.,Confident
"ugh why wont this loop just work, ive tried everything",Frustrated
I'm out of patience with the coding assignment at this point.,Frustrated
Is there a reason statistics homework works this way? I want to understand the why.,Curious
I've reread my code three times and I'm still confused.,Confused
Can someone explain the history reading? I have no idea what's going on.,Confused
"I actually understand this French verb tense now, this makes sense.",Confident
I redo this Python error again and again and it still doesn't work.,Frustrated
I redo this proof again and again and it still doesn't work.,Frustrated
not even a little interested in this physics problem set tbh,Bored
"Honestly this API feels so repetitive, I keep zoning out.",Bored
"I want to dig deeper into the essay outline, there's more to it I think.",Curious
"I'm intrigued by the biology diagram, is there a real-world example?",Curious
I think I've finally got the hang of the presentation slides!,Confident
"the essay outline is just... nothing new, kinda bored",Bored
zoned out like 3 times reading about machine learning basics,Bored
data structures clicked for me and now im flying through it,Confident
SQL joins is being so difficult for no reason,Frustrated
I walked through machine learning basics step by step and it clicked.,Confident
"nailed it, binary search works exactly how it should now",Confident
"no more stress over this lab report, i know what im doing",Confident
I'm out of patience with the group project plan at this point.,Frustrated
I wonder how this Python error would apply outside of class.,Curious
Now I'm curious how this French verb tense connects to what we learned before.,Curious
keep hitting the same error with the exam material ugh,Frustrated
My brain just blanks every time I look at the lecture notes.,Confused
"im losing my mind over the presentation slides, nothing helps",Frustrated
Now I'm curious how this formula connects to what we learned before.,Curious
"ugh why wont recursion just work, ive tried everything",Frustrated
I'm out of patience with the presentation slides at this point.,Frustrated
"Meh, machine learning basics again... I've done this a hundred times.",Bored
"why is binary search so dry, i can barely stay awake",Bored
"cant focus on the assignment instructions at all rn, so dull",Bored
omg i think i finally figured out my code!!,Confident
"hmm what if we changed something in the essay outline, would that break it?",Curious
"this API finally makes sense, i got this",Confident
"huh, i dont get this chemistry equation at all",Confused
"I'm just going through the motions with this calculus problem, not really engaged.",Bored
"this doesnt add up, this formula seems contradictory",Confused
"kinda curious now, is there more to thermodynamics than what we covered?",Curious
I've been staring at this lab report while revising my draft and I just can't focus anymore.,Bored
I've tried everything and statistics homework still isn't working while studying alone.,Frustrated
"meh another this Python error, we already know this stuff",Bored
"at my limit with photosynthesis, ive tried literally everything",Frustrated
I can't bring myself to care about binary search today.,Bored
"I keep getting mixed up on the reading assignment, it's unclear.",Confused
"Something about thermodynamics sparked my interest, tell me more.",Curious
"at my limit with the reading assignment, ive tried literally everything",Frustrated
why does the history reading keep failing every single time i try,Frustrated
"What happens if we tweak this French verb tense a little, would it change things?",Curious
I can't bring myself to care about recursion today.,Bored
This part of SQL joins just doesn't add up to me.,Confused
"ooh wait thats interesting, how does machine learning basics actually work under the hood?",Curious
I'm out of patience with this calculus problem at this point.,Frustrated
"I'm ready to tackle the assignment instructions head on, no worries.",Confident
"Not gonna lie, the exam material is putting me to sleep for homework.",Bored
I'm stuck on this lab report and it's making me want to give up.,Frustrated
"so done with machine learning basics, nothing is working no matter what",Frustrated
"why is linear algebra so dry, i can barely stay awake",Bored
"binary search feels like it's going nowhere, I've lost interest.",Bored
I'm not sure what the question is even asking about this API.,Confused
took a while but i totally get the exam material now,Confident
someone explain this economics concept pls im so confused,Confused
"I'd love to explore the essay outline further, it's more fascinating than I expected.",Curious
"that part about this API was surprisingly interesting, more please",Curious
I feel solid going into the next part of object-oriented programming.,Confident
I redo the exam material again and again and it still doesn't work.,Frustrated
skimming through the exam material bc its so uninteresting,Bored
im actually feeling good about the history reading for once,Confident
I think I've finally got the hang of the research paper thesis!,Confident
"I'd love to explore the biology diagram further, it's more fascinating than I expected.",Curious
is there a cool real world use case for the assignment instructions?,Curious
"huh, i dont get machine learning basics at all",Confused
"Pretty sure I nailed statistics homework while revising my draft, feeling good about it.",Confident
"ugh why wont the exam material just work, ive tried everything",Frustrated
I walked through photosynthesis step by step and it clicked.,Confident
"I'm just going through the motions with this Python error, not really engaged.",Bored
"ugh the biology diagram again, so boring",Bored
Something about the reading assignment isn't making sense and I can't pinpoint why.,Confused
Something about linear algebra isn't making sense and I can't pinpoint why.,Confused
"that part about this grammar rule was surprisingly interesting, more please",Curious
I feel solid going into the next part of linear algebra.,Confident
I've tried everything and data structures still isn't working while revising my draft.,Frustrated
"why is this grammar rule so dry, i can barely stay awake",Bored
cant tell whats going on with the biology diagram at all,Confused
I'm stuck on the biology diagram and it's making me want to give up.,Frustrated
This part of photosynthesis just doesn't add up to me.,Confused
this chemistry equation is a total blur to me right now,Confused
"Finally cracked object-oriented programming, I know exactly what I'm doing.",Confident
"why does the biology diagram even work like that, genuinely curious",Curious
"why is the biology diagram so dry, i can barely stay awake",Bored
"Meh, this proof again... I've done this a hundred times.",Bored
I can't bring myself to care about data structures today.,Bored
I keep hitting the same wall with the assignment instructions and I'm over it.,Frustrated
"I'd love to explore this physics problem set further, it's more fascinating than I expected.",Curious
This error in the exam material is driving me crazy.,Frustrated
"that part about photosynthesis was surprisingly interesting, more please",Curious
"this is so annoying, thermodynamics keeps breaking on me",Frustrated
i keep drifting off thinking about literally anything else during the research paper thesis,Bored
im actually feeling good about this economics concept for once,Confident
"I'm ready to tackle linear algebra head on, no worries.",Confident
"None of this makes sense, especially this French verb tense.",Confused
"Not gonna lie, the research paper thesis is putting me to sleep for homework.",Bored
"I actually understand data structures now, this makes sense.",Confident
"why is my code so dry, i can barely stay awake",Bored
"I'm just going through the motions with linear algebra, not really engaged.",Bored
cant tell whats going on with machine learning basics at all,Confused
data structures is being so difficult for no reason,Frustrated
"why is recursion so dry, i can barely stay awake",Bored
skimming through the reading assignment bc its so uninteresting,Bored
took a while but i totally get the essay outline now,Confident
This part of photosynthesis just doesn't add up to me.,Confused
I redo the exam material again and again and it still doesn't work.,Frustrated
wait what?? SQL joins makes zero sense to me,Confused
"huh, i dont get the essay outline at all",Confused
"this doesnt add up, recursion seems contradictory",Confused
Something about object-oriented programming isn't making sense and I can't pinpoint why.,Confused
"ugh why wont data structures just work, ive tried everything",Frustrated
"solid on the presentation slides now, ready for whatevers next",Confident
"I'm so close to giving up on the biology diagram, it's exhausting.",Frustrated
"huh, i dont get the group project plan at all",Confused
"this doesnt add up, the group project plan seems contradictory",Confused
omg i think i finally figured out the research paper thesis!!,Confident
My brain just blanks every time I look at the history reading.,Confused
"this got me thinking about this formula, wanna know more",Curious
cant tell whats going on with this API at all,Confused
"at my limit with this physics problem set, ive tried literally everything",Frustrated
"Nothing I try fixes this formula, I'm getting really frustrated.",Frustrated
pretty sure i can handle object-oriented programming no problem now,Confident
Can someone explain this formula? I have no idea what's going on.,Confused
"This part of machine learning basics got me thinking, what else is related to it?",Curious
not even a little interested in the group project plan tbh,Bored
I've reread this formula three times and I'm still confused.,Confused
this the exam material lecture is a snoozefest,Bored
"this got me thinking about algorithms and complexity, wanna know more",Curious
"why does recursion even work like that, genuinely curious",Curious
"why does this API even work like that, genuinely curious",Curious
"at my limit with the essay outline, ive tried literally everything",Frustrated
I think I've finally got the hang of the group project plan!,Confident
"im losing my mind over data structures, nothing helps",Frustrated
I'm not sure what the question is even asking about the biology diagram.,Confused
"literally about to give up on the lecture notes, im exhausted",Frustrated
"at my limit with the exam material, ive tried literally everything",Frustrated
"Not gonna lie, the research paper thesis is putting me to sleep during lab.",Bored
Can someone explain object-oriented programming? I have no idea what's going on.,Confused
"what would happen if we pushed machine learning basics further, curious to see",Curious
cant tell whats going on with the exam material at all,Confused
"why does this French verb tense even work like that, genuinely curious",Curious
"im so lost with data structures rn, nothing is clicking",Confused
"I'm intrigued by this physics problem set, is there a real-world example?",Curious
"I'm intrigued by data structures, is there a real-world example?",Curious
"that part about this economics concept was surprisingly interesting, more please",Curious
I've reread the biology diagram three times and I'm still confused.,Confused
I redo the biology diagram again and again and it still doesn't work.,Frustrated
i keep drifting off thinking about literally anything else during thermodynamics,Bored
"this got me thinking about object-oriented programming, wanna know more",Curious
"this got me thinking about statistics homework, wanna know more",Curious
im actually feeling good about the essay outline for once,Confident
"meh another the coding assignment, we already know this stuff",Bored
"Same old stuff with object-oriented programming, nothing new is grabbing my attention.",Bored
"this doesnt add up, photosynthesis seems contradictory",Confused
I don't feel motivated to keep going through binary search right now.,Bored
"yesss got the biology diagram working, feeling good",Confident
I think I've finally got the hang of photosynthesis!,Confident
took a while but i totally get this calculus problem now,Confident
"that part about this calculus problem was surprisingly interesting, more please",Curious
"Wait, I'm lost — how does this economics concept even work?",Confused
"Same old stuff with this grammar rule, nothing new is grabbing my attention.",Bored
I'm confident I can explain binary search to someone else now.,Confident
skimming through this chemistry equation bc its so uninteresting,Bored
"brain totally blanking on this economics concept, whats going on",Confused
"this is so annoying, machine learning basics keeps breaking on me",Frustrated
data structures is just not making sense no matter how many times i read it,Confused
photosynthesis just isn't cooperating no matter what I try while studying alone.,Frustrated
so is the biology diagram used in real projects or just theory,Curious
I don't understand thermodynamics at all again.,Confused
data structures just isn't cooperating no matter what I try in class today.,Frustrated
I'm stuck on the coding assignment and it's making me want to give up.,Frustrated
someone explain this Python error pls im so confused,Confused
"This part of this proof used to trip me up, but not anymore.",Confident
"im so lost with this French verb tense rn, nothing is clicking",Confused
I'm stuck on this economics concept and it's making me want to give up.,Frustrated
"brain totally blanking on the biology diagram, whats going on",Confused
"Honestly this French verb tense feels so repetitive, I keep zoning out.",Bored
Now I'm curious how this Python error connects to what we learned before.,Curious
I can't bring myself to care about the history reading today.,Bored
Is there a reason algorithms and complexity works this way? I want to understand the why.,Curious
I'm not sure what the question is even asking about this Python error.,Confused
Everything about statistics homework feels flat and uninteresting right now.,Bored
Feels great knowing I can handle the lecture notes on my own now.,Confident
"thermodynamics isn't clicking for me, what am I missing?",Confused
"Not gonna lie, photosynthesis is putting me to sleep again.",Bored
This error in machine learning basics is driving me crazy.,Frustrated
"huh, i dont get this calculus problem at all",Confused
"what would happen if we pushed this French verb tense further, curious to see",Curious
"This part of the biology diagram got me thinking, what else is related to it?",Curious
skimming through the biology diagram bc its so uninteresting,Bored
"this doesnt add up, the presentation slides seems contradictory",Confused
"ooh wait thats interesting, how does algorithms and complexity actually work under the hood?",Curious
"this is so annoying, this chemistry equation keeps breaking on me",Frustrated
"im losing my mind over the coding assignment, nothing helps",Frustrated
I don't feel motivated to keep going through the research paper thesis right now.,Bored
"never thought about this French verb tense like that, want to learn more",Curious
"at my limit with my code, ive tried literally everything",Frustrated
wait so how is the essay outline related to the other stuff we learned,Curious
Why does the reading assignment keep going wrong every single time?,Frustrated
"this is so annoying, this API keeps breaking on me",Frustrated
I don't feel motivated to keep going through this economics concept right now.,Bored
"kinda curious now, is there more to SQL joins than what we covered?",Curious
"This part of the coding assignment got me thinking, what else is related to it?",Curious
"I thought I understood object-oriented programming, but now I'm totally stuck.",Confused
not even a little interested in linear algebra tbh,Bored
keep hitting the same error with the essay outline ugh,Frustrated
My brain just blanks every time I look at this grammar rule.,Confused
I double-checked my work on binary search and it all adds up.,Confident
"why is this chemistry equation so dry, i can barely stay awake",Bored
Why does this loop keep going wrong every single time?,Frustrated
"binary search finally makes sense, i got this",Confident
Is there a reason the assignment instructions works this way? I want to understand the why.,Curious
not even a little interested in this proof tbh,Bored
"This is so annoying, this formula keeps breaking no matter what I do.",Frustrated
"I'm ready to tackle SQL joins head on, no worries.",Confident
I don't understand object-oriented programming at all for the group project.,Confused
"I'm intrigued by photosynthesis, is there a real-world example?",Curious
i keep drifting off thinking about literally anything else during SQL joins,Bored
someone explain this physics problem set pls im so confused,Confused
"I want to dig deeper into this grammar rule, there's more to it I think.",Curious
"ugh this economics concept again, so boring",Bored
now i wanna go down a rabbit hole on this chemistry equation,Curious
"Wait, I'm lost — how does algorithms and complexity even work?",Confused
"the reading assignment feels like it's going nowhere, I've lost interest.",Bored
wait what?? the group project plan makes zero sense to me,Confused
I think I've finally got the hang of the lecture notes!,Confident
Can someone explain this physics problem set? I have no idea what's going on.,Confused
I'm confident I can explain statistics homework to someone else now.,Confident
SQL joins is being so difficult for no reason,Frustrated
"Not gonna lie, the presentation slides is putting me to sleep for the group project.",Bored
"this is so annoying, statistics homework keeps breaking on me",Frustrated
keep hitting the same error with data structures ugh,Frustrated
"linear algebra finally makes sense, i got this",Confident
"Pretty sure I nailed this chemistry equation while revising my draft, feeling good about it.",Confident
idk what im even looking at with linear algebra,Confused
keep hitting the same error with machine learning basics ugh,Frustrated
"I want to dig deeper into this formula, there's more to it I think.",Curious
"Honestly this API feels so repetitive, I keep zoning out.",Bored
wait so how is this Python error related to the other stuff we learned,Curious
I keep checking the clock instead of working on this Python error.,Bored
"This is dragging on forever, object-oriented programming just isn't interesting to me.",Bored
This error in recursion is driving me crazy.,Frustrated
"never thought about this calculus problem like that, want to learn more",Curious
ive redone thermodynamics like 5 times and still broken,Frustrated
I keep wanting to ask more questions about this French verb tense.,Curious
